city,hotel_name,url,score,description,hotel_lat,hotel_lon
St Malo,Studio Le sillon malouin vue mer,https://www.booking.com/hotel/fr/studio-vue-mer-saint-malo.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,9.89,1.2 km from downtown,48.6536946,-2.01081279999994
St Malo,T2 terrasse de charme à Rochebonne 400 m plage,https://www.booking.com/hotel/fr/t2-de-charme-a-rochebonne.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,9.59,3.1 km from downtown,48.66041823213841,-1.9869287656982808
St Malo,Les Bois Flottés,https://www.booking.com/hotel/fr/les-bois-flottes-saint-malo.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,9.19,3.3 km from downtown,48.6561872,-1.9816968
St Malo,Kyriad Prestige Saint-Malo,https://www.booking.com/hotel/fr/kyriad-prestige-saint-malo-xml.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,8.98,3.1 km from downtown,48.63609920237719,-1.9892066717147827
St Malo,Marguerite,https://www.booking.com/hotel/fr/marguerite-saint-malo.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,8.88,150 m from downtown,48.64996048182154,-2.023884058216936
St Malo,Oceania Saint Malo,https://www.booking.com/hotel/fr/oceaniasaintmalo.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,8.88,0.6 km from downtown,48.65175688590083,-2.018432021141052
St Malo,Grand Hotel de Courtoisville,https://www.booking.com/hotel/fr/grand-de-courtoisville.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,9.49,2.3 km from downtown,48.658402182733525,-1.997361360325096
St Malo,Hôtel Bristol Union Intra Muros,https://www.booking.com/hotel/fr/bristol-union.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,9.29,100 m from downtown,48.64961099853388,-2.024303376674652
St Malo,Escale Oceania Saint Malo,https://www.booking.com/hotel/fr/mascottesaintmalo.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,8.28,1.3 km from downtown,48.65428009162275,-2.008837759494781
St Malo,La Conchee,https://www.booking.com/hotel/fr/la-conchee.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,9.49,4.3 km from downtown,48.6775155105336,-1.9860955423279103
St Malo,ibis Saint Malo Plage,https://www.booking.com/hotel/fr/ibis-saint-malo-plage.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,8.68,1.1 km from downtown,48.65315671365872,-2.012201249599457
St Malo,Manoir du Pont Gris Saint-Malo,https://www.booking.com/hotel/fr/manor-of-pont-gris-saint-malo.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,8.78,1.6 km from downtown,48.638559,-2.011536
St Malo,La Suite Nolyvan,https://www.booking.com/hotel/fr/la-suite-nolyvan.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,9.39,2.3 km from downtown,48.656857,-1.996288
St Malo,La Rotonde,https://www.booking.com/hotel/fr/la-rotonde-st-malo.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,7.47,3.1 km from downtown,48.66251329819426,-1.9889357686042783
St Malo,Hôtel Les Charmettes - Saint Malo,https://www.booking.com/hotel/fr/les-charmettes.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,8.98,2.4 km from downtown,48.65902139222791,-1.9960114359855647
St Malo,Résidence Pierre & Vacances Ty Mat,https://www.booking.com/hotel/fr/maevatymat.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,8.28,1.5 km from downtown,48.63837327973549,-2.0135128498077397
St Malo,Sézam Appart-Hôtel,https://www.booking.com/hotel/fr/de-l-europe-appartements.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,8.78,1.3 km from downtown,48.64780044419516,-2.008698286508182
St Malo,T2 Confort Sillon St Malo,https://www.booking.com/hotel/fr/t2-duplex-cosy-courtoisville-proche-sillon-st-malo.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from=searchresults,7.87,2.1 km from downtown,48.6531434,-1.99722070000006
St Malo,ibis Styles Saint Malo Port,https://www.booking.com/hotel/fr/ibis-styles-saint-malo-port.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGigAYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0a3YzAbAAgHSAiQ5ZjJmMDQyZi02ZWE1LTRlMzYtODliNy1lNTlhM2VjMTZlN2TYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=8a378ae88edf0246&srepoch=1771443924&from_sustainable_property_sr=1&from=searchresults,8.38,1.5 km from downtown,48.63962613573007,-2.012365314358476
